timestamp,open,high,low,close,volume
2024-08-10 06:00:00,1.72050000,1.74260000,1.70920000,1.74130000,4388424.29240000
2024-08-10 10:00:00,1.74130000,1.79320000,1.72020000,1.78680000,8874744.35260000
2024-08-10 14:00:00,1.78680000,1.78640000,1.72460000,1.72640000,9081893.83220000
2024-08-10 18:00:00,1.72640000,1.75770000,1.72050000,1.74550000,6282848.61690000
2024-08-10 22:00:00,1.74550000,1.77460000,1.73810000,1.75470000,4686519.05070000
2024-08-11 02:00:00,1.75470000,1.80590000,1.74390000,1.78670000,7461259.07170000
2024-08-11 06:00:00,1.78670000,1.83790000,1.77560000,1.82590000,13148308.57930000
2024-08-11 10:00:00,1.82590000,1.82860000,1.75530000,1.76330000,11661596.13120000
2024-08-11 14:00:00,1.76330000,1.76840000,1.66560000,1.67420000,15899580.72450000
2024-08-11 18:00:00,1.67420000,1.69520000,1.63260000,1.63520000,9500745.07120000
2024-08-11 22:00:00,1.63520000,1.63560000,1.58780000,1.60010000,10991353.56640000
2024-08-12 02:00:00,1.60010000,1.64080000,1.59390000,1.62760000,7577012.54390000
2024-08-12 06:00:00,1.62760000,1.66390000,1.60000000,1.64740000,8825619.25630000
2024-08-12 10:00:00,1.64740000,1.74580000,1.63850000,1.73010000,13587420.77490000
2024-08-12 14:00:00,1.73010000,1.74760000,1.64020000,1.70410000,22937164.98210000
2024-08-12 18:00:00,1.70410000,1.71630000,1.63710000,1.65310000,10633687.59040000
2024-08-12 22:00:00,1.65310000,1.71580000,1.63510000,1.70040000,7322618.52180000
2024-08-13 02:00:00,1.70040000,1.70960000,1.64060000,1.64630000,8790733.55550000
2024-08-13 06:00:00,1.64630000,1.67900000,1.63420000,1.66010000,6499199.34240000
2024-08-13 10:00:00,1.66010000,1.66570000,1.63650000,1.65110000,5794059.08220000
2024-08-13 14:00:00,1.65110000,1.67140000,1.62530000,1.63690000,10294358.53970000
2024-08-13 18:00:00,1.63690000,1.69980000,1.63530000,1.67960000,11280678.31230000
2024-08-13 22:00:00,1.67960000,1.69000000,1.66130000,1.67040000,4302550.28030000
2024-08-14 02:00:00,1.67040000,1.67880000,1.64690000,1.66500000,5910248.38870000
2024-08-14 06:00:00,1.66500000,1.68150000,1.65490000,1.65900000,5542179.02170000
2024-08-14 10:00:00,1.65900000,1.69470000,1.64640000,1.67680000,7963613.84750000
2024-08-14 14:00:00,1.67680000,1.69390000,1.58750000,1.62690000,20217828.61330000
2024-08-14 18:00:00,1.62690000,1.63950000,1.58990000,1.59790000,7446472.33420000
2024-08-14 22:00:00,1.59790000,1.60180000,1.56020000,1.58980000,6125953.85190000
2024-08-15 02:00:00,1.58980000,1.60870000,1.57660000,1.59000000,5887628.01760000
2024-08-15 06:00:00,1.59000000,1.59370000,1.55360000,1.57030000,7768559.80590000
2024-08-15 10:00:00,1.57030000,1.58630000,1.55930000,1.57890000,5880348.13640000
