timestamp,open,high,low,close,volume
2024-08-10 06:00:00,6.11900000,6.17700000,6.08300000,6.17400000,673913.62300000
2024-08-10 10:00:00,6.17400000,6.22500000,6.14800000,6.22300000,865924.29100000
2024-08-10 14:00:00,6.22300000,6.24200000,6.15900000,6.19800000,906430.40500000
2024-08-10 18:00:00,6.19800000,6.23200000,6.18600000,6.21700000,684336.14000000
2024-08-10 22:00:00,6.21700000,6.23000000,6.16100000,6.18400000,481285.07400000
2024-08-11 02:00:00,6.18400000,6.29000000,6.17000000,6.24400000,1003389.17400000
2024-08-11 06:00:00,6.24400000,6.28300000,6.20400000,6.28200000,814320.78800000
2024-08-11 10:00:00,6.28200000,6.39500000,6.21900000,6.23700000,1703947.78200000
2024-08-11 14:00:00,6.23700000,6.24500000,6.02600000,6.06900000,2072963.51500000
2024-08-11 18:00:00,6.06900000,6.14000000,5.99700000,5.99800000,1334278.31200000
2024-08-11 22:00:00,5.99800000,6.00400000,5.86800000,5.90100000,2105910.04300000
2024-08-12 02:00:00,5.90100000,5.96200000,5.86000000,5.93400000,1484417.37300000
2024-08-12 06:00:00,5.93400000,6.00800000,5.85000000,5.98200000,1673108.05700000
2024-08-12 10:00:00,5.98200000,6.30000000,5.98100000,6.23100000,2775292.13900000
2024-08-12 14:00:00,6.23100000,6.30900000,5.98600000,6.20000000,6417034.26600000
2024-08-12 18:00:00,6.20000000,6.23600000,6.03400000,6.08300000,1931061.04300000
2024-08-12 22:00:00,6.08300000,6.27100000,6.05100000,6.23500000,1452178.09700000
2024-08-13 02:00:00,6.23500000,6.28100000,6.13200000,6.14500000,1951558.94500000
2024-08-13 06:00:00,6.14500000,6.20900000,6.11400000,6.14400000,1145225.78100000
2024-08-13 10:00:00,6.14400000,6.18400000,6.07400000,6.13900000,1358913.89600000
2024-08-13 14:00:00,6.13900000,6.24300000,6.13500000,6.21900000,1809157.34500000
2024-08-13 18:00:00,6.21900000,6.38000000,6.21900000,6.31600000,2587009.11100000
2024-08-13 22:00:00,6.31600000,6.39300000,6.30700000,6.34100000,945274.45100000
2024-08-14 02:00:00,6.34100000,6.35800000,6.25500000,6.33500000,1267883.45000000
2024-08-14 06:00:00,6.33500000,6.48500000,6.32700000,6.47100000,2299356.39100000
2024-08-14 10:00:00,6.47100000,6.50200000,6.40200000,6.43000000,2250632.00600000
2024-08-14 14:00:00,6.43000000,6.48200000,6.22300000,6.36700000,3777030.68100000
2024-08-14 18:00:00,6.36700000,6.38900000,6.32700000,6.36700000,1459706.44800000
2024-08-14 22:00:00,6.36700000,6.44800000,6.31000000,6.43200000,1868155.44500000
2024-08-15 02:00:00,6.43200000,6.44900000,6.29800000,6.30400000,2054399.32900000
2024-08-15 06:00:00,6.30400000,6.31500000,6.20300000,6.25100000,1404272.78300000
2024-08-15 10:00:00,6.25100000,6.31700000,6.22800000,6.31500000,1347458.05300000
2024-08-15 14:00:00,6.31500000,6.42500000,6.27800000,6.39100000,2228835.15100000
2024-08-15 18:00:00,6.39100000,6.42900000,6.07500000,6.11800000,3444875.82000000
2024-08-15 22:00:00,6.11800000,6.28300000,6.07600000,6.20300000,2437614.22900000
2024-08-16 02:00:00,6.20300000,6.36800000,6.19500000,6.29100000,1764430.28600000
2024-08-16 06:00:00,6.29100000,6.42000000,6.27900000,6.38800000,1817925.19900000
2024-08-16 10:00:00,6.38800000,6.47900000,6.36600000,6.42700000,2594967.10700000
