Symbol,Strategy,Interval,TotalTrades,WinRate,TotalReturn,MaxDrawdown,SharpeRatio,ProfitFactor,CandlesUsed,StartDate,EndDate,Parameters
DOTUSDT,Confluence_Conservative,1d,4,0.00,-4.32,4.39,-40.55,0.00,400,2024-12-26,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
LINKUSDT,"RSI_Strategy(14,70,30)",1d,7,14.29,-5.09,6.56,-10.95,0.24,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
ETHUSDT,"RSI_Strategy(14,65,35)",1d,16,25.00,-5.31,6.32,-3.79,0.58,400,2024-12-26,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
SOLUSDT,"RSI_Strategy(14,65,35)",1d,18,27.78,-5.35,7.28,-2.98,0.66,400,2024-12-26,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
LINKUSDT,"RSI_Strategy(14,65,35)",1d,18,27.78,-5.52,8.83,-2.72,0.68,400,2024-12-26,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
UNIUSDT,"SMA_Crossover(10,30)",1d,11,18.18,-5.76,9.58,-5.22,0.46,400,2024-12-26,2026-01-31,"{""long_period"":30,""short_period"":10}"
LINKUSDT,Confluence_Default,1d,14,21.43,-7.07,9.51,-5.11,0.46,400,2024-12-26,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
XRPUSDT,Adaptive(21/55),1d,16,18.75,-7.81,10.10,-6.03,0.42,400,2024-12-26,2026-01-31,null
DOGEUSDT,"RSI_Strategy(14,65,35)",1d,19,26.32,-7.87,9.53,-4.09,0.57,400,2024-12-26,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
UNIUSDT,"RSI_Strategy(14,65,35)",1d,18,22.22,-8.20,11.95,-4.02,0.55,400,2024-12-26,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
UNIUSDT,"RSI_Strategy(7,70,30)",1d,21,19.05,-10.94,13.13,-4.91,0.48,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
