Symbol,Strategy,Interval,TotalTrades,WinRate,TotalReturn,MaxDrawdown,SharpeRatio,ProfitFactor,CandlesUsed,StartDate,EndDate,Parameters
SOLUSDT,"RSI_Strategy(14,75,25)",1h,56,28.57,-2.92,3.49,-2.88,0.67,4400,2025-07-31,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
DOGEUSDT,"SMA_Crossover(20,100)",1h,56,30.36,-2.94,4.49,-3.37,0.63,4400,2025-07-31,2026-01-31,"{""long_period"":100,""short_period"":20}"
XRPUSDT,Confluence_Conservative,1h,47,27.66,-3.04,4.11,-3.65,0.61,4400,2025-07-31,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
DOTUSDT,"RSI_Strategy(14,70,30)",1h,92,35.87,-3.05,4.18,-1.58,0.80,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
DOGEUSDT,"RSI_Strategy(21,70,30)",1h,52,28.85,-3.09,3.09,-2.98,0.65,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
SOLUSDT,"RSI_Strategy(21,70,30)",1h,54,29.63,-3.12,3.99,-3.21,0.64,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
DOTUSDT,"SMA_Crossover(5,20)",1h,149,34.90,-3.16,6.65,-1.16,0.85,4400,2025-07-31,2026-01-31,"{""long_period"":20,""short_period"":5}"
BNBUSDT,"RSI_Strategy(14,70,30)",1h,104,32.69,-3.22,3.61,-2.06,0.73,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
XRPUSDT,"SMA_Crossover(20,50)",1h,91,31.87,-3.27,3.89,-2.68,0.70,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":20}"
DOGEUSDT,"RSI_Strategy(14,75,25)",1h,55,29.09,-3.28,3.68,-3.09,0.64,4400,2025-07-31,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
DOTUSDT,"SMA_Crossover(10,50)",1h,104,31.73,-3.30,4.95,-1.87,0.78,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":10}"
BNBUSDT,"SMA_Crossover(20,50)",1h,81,32.10,-3.32,3.96,-3.77,0.59,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":20}"
LINKUSDT,"SMA_Crossover(10,30)",1h,131,33.59,-3.35,5.93,-1.39,0.83,4400,2025-07-31,2026-01-31,"{""long_period"":30,""short_period"":10}"
SOLUSDT,"SMA_Crossover(20,50)",1h,86,32.56,-3.40,5.03,-2.55,0.71,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":20}"
UNIUSDT,"SMA_Crossover(20,100)",1h,63,30.16,-3.42,4.86,-2.48,0.68,4400,2025-07-31,2026-01-31,"{""long_period"":100,""short_period"":20}"
LINKUSDT,"RSI_Strategy(7,70,30)",1h,205,37.07,-3.52,5.63,-0.89,0.88,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
DOGEUSDT,Confluence_Default,1h,169,34.91,-3.52,5.28,-1.06,0.85,4400,2025-07-31,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
SOLUSDT,"SMA_Crossover(20,100)",1h,59,27.12,-3.54,4.28,-3.98,0.59,4400,2025-07-31,2026-01-31,"{""long_period"":100,""short_period"":20}"
DOTUSDT,"SMA_Crossover(20,50)",1h,90,31.11,-3.86,5.39,-2.60,0.71,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":20}"
ETHUSDT,Adaptive(21/55),1h,123,34.15,-3.90,5.37,-2.10,0.75,4400,2025-07-31,2026-01-31,null
LINKUSDT,"RSI_Strategy(14,70,30)",1h,89,32.58,-3.90,3.90,-2.19,0.73,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
BNBUSDT,"SMA_Crossover(5,20)",1h,147,32.65,-3.97,4.72,-2.18,0.73,4400,2025-07-31,2026-01-31,"{""long_period"":20,""short_period"":5}"
SOLUSDT,"RSI_Strategy(14,65,35)",1h,168,33.33,-4.02,6.31,-1.39,0.82,4400,2025-07-31,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
BTCUSDT,"SMA_Crossover(10,50)",1h,93,29.03,-4.03,4.53,-5.28,0.50,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":10}"
DOGEUSDT,"SMA_Crossover(10,30)",1h,129,33.33,-4.04,5.96,-1.90,0.77,4400,2025-07-31,2026-01-31,"{""long_period"":30,""short_period"":10}"
BNBUSDT,"SMA_Crossover(10,30)",1h,121,32.23,-4.09,4.62,-2.81,0.67,4400,2025-07-31,2026-01-31,"{""long_period"":30,""short_period"":10}"
ETHUSDT,"SMA_Crossover(10,50)",1h,90,31.11,-4.12,5.07,-3.39,0.63,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":10}"
BTCUSDT,Confluence_Default,1h,139,33.09,-4.30,4.70,-3.10,0.66,4400,2025-07-31,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
LINKUSDT,"SMA_Crossover(20,100)",1h,55,27.27,-4.38,5.19,-5.01,0.51,4400,2025-07-31,2026-01-31,"{""long_period"":100,""short_period"":20}"
DOTUSDT,Confluence_Conservative,1h,66,25.76,-4.46,5.87,-3.22,0.64,4400,2025-07-31,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
BTCUSDT,"SMA_Crossover(5,20)",1h,145,31.03,-4.52,5.04,-3.51,0.62,4400,2025-07-31,2026-01-31,"{""long_period"":20,""short_period"":5}"
ETHUSDT,"RSI_Strategy(14,75,25)",1h,62,25.81,-4.55,4.55,-5.24,0.49,4400,2025-07-31,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
ETHUSDT,"SMA_Crossover(5,20)",1h,146,31.51,-4.61,5.67,-2.21,0.74,4400,2025-07-31,2026-01-31,"{""long_period"":20,""short_period"":5}"
BTCUSDT,"SMA_Crossover(10,30)",1h,122,28.69,-4.63,4.91,-4.43,0.55,4400,2025-07-31,2026-01-31,"{""long_period"":30,""short_period"":10}"
DOGEUSDT,"SMA_Crossover(20,50)",1h,84,28.57,-4.65,5.78,-3.65,0.61,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":20}"
SOLUSDT,Confluence_Conservative,1h,64,26.56,-4.70,5.48,-4.11,0.58,4400,2025-07-31,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
BTCUSDT,Adaptive(21/55),1h,109,28.44,-4.79,5.23,-4.77,0.52,4400,2025-07-31,2026-01-31,null
DOGEUSDT,"RSI_Strategy(14,70,30)",1h,103,31.07,-4.84,6.55,-2.50,0.71,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
XRPUSDT,Adaptive(21/55),1h,91,32.97,-4.87,7.49,-3.41,0.62,4400,2025-07-31,2026-01-31,null
