Symbol,Strategy,Interval,TotalTrades,WinRate,TotalReturn,MaxDrawdown,SharpeRatio,ProfitFactor,CandlesUsed,StartDate,EndDate,Parameters
BTCUSDT,"SMA_Crossover(20,50)",4h,43,41.86,-0.16,1.78,-0.19,0.97,2200,2025-01-28,2026-01-31,"{""long_period"":50,""short_period"":20}"
ETHUSDT,Confluence_Default,4h,95,37.89,-0.19,5.74,-0.02,0.99,2200,2025-01-28,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
SOLUSDT,"SMA_Crossover(50,200)",4h,10,40.00,-0.21,2.62,-0.58,0.92,2200,2025-01-28,2026-01-31,"{""long_period"":200,""short_period"":50}"
XRPUSDT,Confluence_Aggressive,4h,115,36.52,-0.27,6.70,-0.02,0.99,2200,2025-01-28,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
BNBUSDT,"SMA_Crossover(10,50)",4h,47,40.43,-0.35,3.77,-0.25,0.96,2200,2025-01-28,2026-01-31,"{""long_period"":50,""short_period"":10}"
SOLUSDT,Confluence_Conservative,4h,65,36.92,-0.38,2.94,-0.12,0.98,2200,2025-01-28,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
SOLUSDT,"RSI_Strategy(14,65,35)",4h,84,33.33,-0.41,3.85,-0.08,0.98,2200,2025-01-28,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
BTCUSDT,"SMA_Crossover(50,200)",4h,16,31.25,-0.42,0.94,-1.76,0.78,2200,2025-01-28,2026-01-31,"{""long_period"":200,""short_period"":50}"
ETHUSDT,"RSI_Strategy(21,70,30)",4h,40,32.50,-0.55,2.58,-0.35,0.94,2200,2025-01-28,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
XRPUSDT,"SMA_Crossover(50,200)",4h,12,33.33,-0.55,1.51,-1.80,0.78,2200,2025-01-28,2026-01-31,"{""long_period"":200,""short_period"":50}"
ETHUSDT,"SMA_Crossover(50,200)",4h,12,33.33,-0.69,1.71,-2.42,0.72,2200,2025-01-28,2026-01-31,"{""long_period"":200,""short_period"":50}"
BNBUSDT,"RSI_Strategy(14,75,25)",4h,36,27.78,-0.71,3.33,-0.69,0.90,2200,2025-01-28,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
BTCUSDT,"SMA_Crossover(10,50)",4h,53,37.74,-0.79,2.39,-0.77,0.90,2200,2025-01-28,2026-01-31,"{""long_period"":50,""short_period"":10}"
BTCUSDT,Confluence_Aggressive,4h,131,37.40,-0.89,3.86,-0.31,0.95,2200,2025-01-28,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
BTCUSDT,"SMA_Crossover(20,100)",4h,25,36.00,-0.93,1.59,-2.38,0.73,2200,2025-01-28,2026-01-31,"{""long_period"":100,""short_period"":20}"
BTCUSDT,"RSI_Strategy(14,65,35)",4h,91,32.97,-1.05,5.21,-0.55,0.92,2200,2025-01-28,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
SOLUSDT,Adaptive(21/55),4h,96,35.42,-1.33,5.02,-0.33,0.95,2200,2025-01-28,2026-01-31,null
BNBUSDT,Confluence_Aggressive,4h,123,40.65,-1.42,4.25,-0.41,0.94,2200,2025-01-28,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
BNBUSDT,Confluence_Conservative,4h,41,36.59,-1.60,2.79,-1.50,0.81,2200,2025-01-28,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
BNBUSDT,"SMA_Crossover(50,200)",4h,10,10.00,-1.61,1.89,-12.12,0.19,2200,2025-01-28,2026-01-31,"{""long_period"":200,""short_period"":50}"
BTCUSDT,"RSI_Strategy(7,70,30)",4h,117,32.48,-1.69,6.57,-0.71,0.90,2200,2025-01-28,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
XRPUSDT,"SMA_Crossover(20,100)",4h,32,34.38,-1.84,3.78,-1.80,0.78,2200,2025-01-28,2026-01-31,"{""long_period"":100,""short_period"":20}"
BNBUSDT,"SMA_Crossover(20,50)",4h,36,36.11,-1.92,4.50,-2.29,0.73,2200,2025-01-28,2026-01-31,"{""long_period"":50,""short_period"":20}"
BNBUSDT,"SMA_Crossover(20,100)",4h,23,30.43,-1.93,3.46,-4.49,0.53,2200,2025-01-28,2026-01-31,"{""long_period"":100,""short_period"":20}"
ETHUSDT,"RSI_Strategy(14,70,30)",4h,60,31.67,-2.03,3.90,-0.97,0.87,2200,2025-01-28,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
SOLUSDT,"RSI_Strategy(14,70,30)",4h,60,30.00,-2.06,3.87,-0.90,0.87,2200,2025-01-28,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
BNBUSDT,Adaptive(21/55),4h,74,36.49,-2.26,3.00,-1.17,0.85,2200,2025-01-28,2026-01-31,null
ETHUSDT,"RSI_Strategy(14,75,25)",4h,42,28.57,-2.39,5.35,-1.78,0.77,2200,2025-01-28,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
SOLUSDT,"RSI_Strategy(21,70,30)",4h,31,29.03,-2.82,4.59,-2.46,0.70,2200,2025-01-28,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
BNBUSDT,Confluence_Default,4h,119,38.66,-2.92,4.39,-1.06,0.86,2200,2025-01-28,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
ETHUSDT,"RSI_Strategy(7,70,30)",4h,96,32.29,-2.98,4.57,-0.90,0.88,2200,2025-01-28,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
XRPUSDT,"RSI_Strategy(14,65,35)",4h,87,31.03,-3.27,6.93,-0.94,0.87,2200,2025-01-28,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
ETHUSDT,"SMA_Crossover(20,100)",4h,28,28.57,-3.29,3.63,-4.93,0.52,2200,2025-01-28,2026-01-31,"{""long_period"":100,""short_period"":20}"
ETHUSDT,"SMA_Crossover(20,50)",4h,45,31.11,-3.29,4.49,-2.81,0.68,2200,2025-01-28,2026-01-31,"{""long_period"":50,""short_period"":20}"
SOLUSDT,"SMA_Crossover(5,20)",4h,78,33.33,-3.61,6.27,-1.23,0.84,2200,2025-01-28,2026-01-31,"{""long_period"":20,""short_period"":5}"
BTCUSDT,Adaptive(21/55),4h,71,30.99,-3.71,4.90,-2.69,0.69,2200,2025-01-28,2026-01-31,null
SOLUSDT,"SMA_Crossover(10,30)",4h,67,29.85,-4.05,7.30,-1.70,0.78,2200,2025-01-28,2026-01-31,"{""long_period"":30,""short_period"":10}"
SOLUSDT,"SMA_Crossover(10,50)",4h,46,26.09,-4.73,5.91,-3.09,0.64,2200,2025-01-28,2026-01-31,"{""long_period"":50,""short_period"":10}"
SOLUSDT,Confluence_Default,4h,109,35.78,-4.89,6.28,-1.30,0.83,2200,2025-01-28,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
BTCUSDT,Confluence_Default,4h,121,31.40,-5.44,6.78,-2.47,0.71,2200,2025-01-28,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
XRPUSDT,Adaptive(21/55),4h,87,32.18,-5.70,9.23,-1.92,0.76,2200,2025-01-28,2026-01-31,null
XRPUSDT,"RSI_Strategy(7,70,30)",4h,105,29.52,-5.94,9.32,-1.60,0.79,2200,2025-01-28,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
XRPUSDT,Confluence_Default,4h,111,35.14,-6.16,7.78,-1.72,0.78,2200,2025-01-28,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
ETHUSDT,Adaptive(21/55),4h,75,30.67,-6.39,8.27,-2.76,0.68,2200,2025-01-28,2026-01-31,null
SOLUSDT,Confluence_Aggressive,4h,143,33.57,-7.08,10.56,-1.42,0.82,2200,2025-01-28,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
